name,address,city,state,country,postalCode,latitude,longitude,categories,keys,,
2 Way Brewing Co,18 W Main St,Beacon,NY,US,12508,41.5084,-73.9806,Brewers,us/ny/beacon/18wmainst/-224600189,,
20 Corners Brewing,14148 NE 190th St,Woodinville,WA,US,98072,47.75,-122.09,Brewery,us/wa/woodinville/14148ne190thst/748868320,,
2124 Brewing Co,8321 Ohio River Blvd,Pittsburgh,PA,US,15202,40.43,-79.97,Brewers,us/pa/pittsburgh/8321ohioriverblvd/-297371713,,
21st Amendment Brewery,2010 Williams St,San Leandro,CA,US,94577,37.7118073,-122.1776581,Brewery,us/ca/sanleandro/2010williamsst/1624822365,,
24 Gourmet Vineyards Inc,21 Portnellan Ave,New Rochelle,NY,US,10804,40.9356,-73.7969,"Beverage Manufacturers,Breweries",us/ny/newrochelle/21portnellanave/112345338,,
26 Degree Brewing Company,2600 E Atlantic Ave,Pompano Beach,FL,US,33062,26.231281,-80.09754,"Breweries,Food & Drink",us/laudbysea/pompanobeach/2600eatlanticave/-625761555,,
2kids Brewing Company,8680 Miralani Dr,San Diego,CA,US,92126,32.71,-117.16,Brewery,us/ca/sandiego/8680miralanidr/-1125852100,,
2nd Shift Brewing and Tasting Room,1601 Sublette Ave,Saint Louis,MO,US,63110,38.63,-90.24,Brewery,us/mo/saintlouis/1601subletteave/-1965229975,,
2nd Shift Brewing Co,101 Cedar Creek Rd,New Haven,MO,US,63068,38.543523,-91.181287,Brewers,us/detmold/newhaven/101cedarcreekrd/384427590,,
2nd Story Brewing Co,117 Chestnut St,Philadelphia,PA,US,19106,39.9485,-75.1435,Brewers,us/pa/philadelphia/117chestnutst/-973733261,,
2sp Brewing Co,120 Concord Rd,Aston,PA,US,19014,39.8623,-75.4144,"Brewers,Brewery",us/pa/aston/120concordrd/-871648591,,
3 Bean Brew LLC,85 Isle Of Venice Dr,Fort Lauderdale,FL,US,33301,26.1235,-80.1208,Brewers,us/fl/fortlauderdale/85isleofvenicedr/-663937563,,
3 Daughters Brewery,222 22nd St S,Saint Petersburg,FL,US,33712,27.75,-82.64,Brewery,us/fl/saintpetersburg/22222ndsts/501374610,,
3 Floyds Brewery & Pub,9750 Indiana Pkwy,Munster,IN,US,46321,41.54,-87.5,"brewery,Pub",us/in/munster/9750indianapkwy/973829829,,
3 Guys & A Beer'd Brewing,10 Enterprise,Carbondale,PA,US,18407,41.57,-75.5,Brewers,us/pa/carbondale/10enterprise/2140523943,,
3 Guys Brewing LLC,4723 Monte Vista Dr,Addis,LA,US,70710,30.3775,-91.2682,Brewers,us/la/addis/4723montevistadr/-588624891,,
3 Huskies Brewing,401 Lakeshore Dr,Canandaigua,NY,US,14424,42.8724,-77.2511,Brewers,us/ny/canandaigua/401lakeshoredr/-1093762623,,
3 Keys Brewing & Eatery,2505 Manatee Ave E,Bradenton,FL,US,34208,27.48,-82.57,Brewery,us/fl/bradenton/2505manateeavee/1123070317,,
3 Nations Brewing,2405 Squire Pl 200,Dallas,TX,US,75234,32.79,-96.76,Brewers,us/tx/dallas/2405squirepl200/902661895,,
3 Sons Brewing Co LLC,236 N Federal Hwy,Dania,FL,US,33004,26.048,-80.1436,Brewers,us/fl/dania/236nfederalhwy/-1090961076,,
3 Stars Brewing Company,6400 Chillum Place Northwest,Washington D.C.,DC,US,,38.967496,-77.01272,"Attraction,Bars,Clubs and Nightlife,Brewery",us/districtofcolumbia/washingtondc/6400chillumplacenorthwest/-734951317,,
300 Suns Brewing,335 1st Ave Unit C,Longmont,CO,US,80501,40.17,-105.11,Brewery,us/co/longmont/3351staveunitc/425548486,,
305 Brews,3535 Northeast 2nd Avenue,Miami,FL,US,33137,25.8099,-80.1909,Brewers,us/fl/miami/3535northeast2ndavenue/-49135303,,
32 North Brewing Co,3465 Camino Del Rio S,San Diego,CA,US,92108,32.777,-117.1188,Brewers,us/ca/sandiego/3465caminodelrios/-1511521574,,
32 North Brewing Co.,8655 Production Ave,San Diego,CA,US,92121,32.8827827,-117.1648515,Brewery,us/ca/sandiego/8655productionave/-1511521574,,
38 State Brewing Company,8071 S. Broadway Unit A,Littleton,CO,US,80122,39.568966,-104.98962,"Restaurant,Pubs,Brewery",us/co/littleton/8071sbroadwayunita/-1242067671,,
3cross Brewing Company,26 Cambridge St,Worcester,MA,US,1603,42.26,-71.8,Brewery,us/ma/worcester/26cambridgest/-1153193462,,
3rd Coast Brewing Co LLC,1829 Bering Dr 22,Houston,TX,US,77057,29.7472,-95.478,Brewers,us/tx/houston/1829beringdr22/1955667567,,
3rd Turn Brewing,6511 Glenridge Park Pl 1,Louisville,KY,US,40222,38.2858,-85.6294,Brewers,us/ky/louisville/6511glenridgeparkpl1/97201598,,
3rd Wave Brewing Company,Bi state,Delmar,DE,US,19940,38.46089334,-75.57440871,Brewery,us/de/delmar/bistate/880789115,,
4 J G's Orchards & Vineyards,127 Hillsdale Rd,Colts Neck,NJ,US,7722,40.28,-74.16,"Wineries,Vineyards,Brewers",us/nj/coltsneck/127hillsdalerd/-2016164827,,
4 Noses Brewing Company,8855 W 116th Cir,Broomfield,CO,US,80021,39.90648251,-105.0984737,Brewery,us/co/broomfield/8855w116thcir/405758761,,
405 Brewing Co,1716 Topeka St,Norman,OK,US,73069,35.2573,-97.4681,Brewers,us/ok/norman/1716topekast/-170905529,,
406 Brewing Company,101 E Oak St,Bozeman,MT,US,59715,45.69292129,-111.0343548,"Restaurant,Brewery",us/mt/bozeman/101eoakst/2056251543,,
42 North Brewing Co.,25 Pine St,East Aurora,NY,US,14052,42.76,-78.61,Brewery,us/ny/eastaurora/25pinest/-2017080199,,
4204 Main Street Brewing Co,4204 W Main St,Belleville,IL,US,62226,38.5379,-90.0211,Brewers,us/il/belleville/4204wmainst/-322166686,,
45th Parallel Spirits,1570 Madison Ave,New Richmond,WI,US,54017,45.103436,-92.54965,"Breweries,Food & Drink",us/cylon/newrichmond/1570madisonave/1756964198,,
46 & 2 Brewing LLC,3243 Clarendon Rd,Cleveland,OH,US,44118,41.4932,-81.5638,Brewers,us/oh/cleveland/3243clarendonrd/935805872,,
47 Hills Brewing Co,137 S Linden Ave,South San Francisco,CA,US,94080,37.6506,-122.4116,Brewers,us/ca/southsanfrancisco/137slindenave/-1616925935,,
47 Hills Brewing Company,137 S Linden Ave,South San Francisco,CA,US,94080,37.65,-122.42,Brewery,us/ca/southsanfrancisco/137slindenave/-418042804,,
48th Parallel Brewing Co LLC,435 E Main St 185,Greenwood,IN,US,46143,39.6138,-86.0999,Brewers,us/in/greenwood/435emainst185/911766721,,
49th State Brewing,717 W 3rd Ave,Anchorage,AK,US,99501,61.21963,-149.89574,"Brewery,Restaurant",us/ak/anchorage/717w3rdave/-1060963288,,
49th State Brewing Co.,Mile 2484 Parks Hwy,Healy,AK,US,99743,63.86386086,-149.016667,"Restaurant,Brewery",us/ak/healy/mile2484parkshwy/-1060963288,,
4th St Beverage Shack,2020 N 4th St,Coeur D Alene,ID,US,83814,47.59,-116.91,"Wholesale Foods,Breweries",us/id/coeurdalene/2020n4thst/-1948545652,,
4th Street Brewing (reported Closed),77 N E 4th St,Gresham,OR,US,97030,45.500504,-122.429975,Brewers,us/or/gresham/77ne4thst/1485972692,,
4th Tap Brewing Co-Op,10615 Metric Blvd,Austin,TX,US,78758,30.3851,-97.7124,Brewers,us/tx/austin/10615metricblvd/-101875994,,
4th Tap Brewing Cooperative,10615 Metric Blvd,Austin,TX,US,78758,30.3851408,-97.7118457,"Attraction,Bars,Clubs and Nightlife,Brewery",us/tx/austin/10615metricblvd/-193665050,,
5 Rabbit Brewery,6398 W 74th St,Chicago,IL,US,60638,41.85,-87.65,Brewery,us/forestview/chicago/6398w74thst/1372123579,,
5 Rabbit Cerveceria Inc,6398 W 74th St,Chicago,IL,US,60638,41.758,-87.7796,Brewers,us/il/chicago/6398w74thst/-459764840,,
5 Seasons Brewery,1000 Marietta St NW 204,Atlanta,GA,US,30318,33.7785,-84.4107,Brewers,us/ga/atlanta/1000mariettastnw204/1269107887,,
5 Seasons Brewing,5600 Roswell Rd,Atlanta,GA,US,30342,33.85,-84.39,"Brewery,American Restaurant",us/ga/atlanta/5600roswellrd/1269111589,,
5 Seasons Brewing,5600 Roswell Rd,Atlanta,GA,US,30342,33.90807025,-84.38065049,"American Restaurant,Brewery",us/tuxedo/atlanta/5600roswellrd/1269111589,,
5040 Brewing Co,3801 S Truman Rd,Washougal,WA,US,98671,45.5651,-122.328,Brewers,us/wa/washougal/3801strumanrd/1102006633,,
51 North Brewing Company,51 N Broadway St,Lake Orion,MI,US,48362,42.78,-83.24,Brewery,us/mi/lakeorion/51nbroadwayst/124339462,,
51 North Brewing Company,51 N Broadway St,Lake Orion,MI,US,48362,42.78,-83.24,Brewery,us/oriontwp/lakeorion/51nbroadwayst/124339462,,
512 Brewing Co,407 Radam Ln,Austin,TX,US,78745,30.223611,-97.769667,"Brewery,Brewers",us/tx/austin/407radamln/1186630090,,
512 Brewing Company,407 Radam Ln,Austin,TX,US,78745,30.2234,-97.76974,"Restaurant,Brewery",us/tx/austin/407radamln/1163787123,,
515 Brewing Co,7700 University Ave,Clive,IA,US,50325,41.6,-93.76,Brewers,us/ia/clive/7700universityave/2120093799,,
515 Brewing Company,7700 University Ave,Clive,IA,US,50325,41.6,-93.76,"brewery,Pub",us/ia/clive/7700universityave/1391475254,,
54°40' Brewing Co.,3801 S Truman Rd,Washougal,WA,US,98671,45.56466465,-122.3271628,Brewery,us/wa/washougal/3801strumanrd/315952613,,
56 Brewing,3055 Columbia Ave NE,Minneapolis,MN,US,55418,44.96,-93.26,Brewery,us/mn/minneapolis/3055columbiaavene/-1541632545,,
5th Element Brewing,7117 Wood Hollow Dr 618,Austin,TX,US,78731,30.3535,-97.753,Brewers,us/tx/austin/7117woodhollowdr618/-981462323,,
5th Quadrant,3901 N Williams Ave,Portland,OR,US,97227,45.5,-122.69,Brewery,us/or/portland/3901nwilliamsave/1934085733,,
5th Quarter Tavern,333 C St,Palmyra,NE,US,68418-4134,40.703042,-96.389977,breweries & brew pubs,us/ne/palmyra/333cst/-1325716485,,
5th Street Corner Pub III,500 Beecher St,Louisville,KY,US,40215,38.1918,-85.7685,Brewers,us/ky/louisville/500beecherst/1714509421,,
603 Brewery,12 Liberty Dr,Londonderry,NH,US,3053,42.9164,-71.3629,"Brewers,Restaurant",us/nh/londonderry/12libertydr/245410385,,
608 Brewing Co LLC,2715 S Cedar Ave,Holmen,WI,US,54636,43.9358,-91.2445,Brewers,us/wi/holmen/2715scedarave/369531170,,
611 Sia-Aon Deug Brewery LLC,920 Hillwood Dr,Dunedin,FL,US,34698,28.0082,-82.7741,Brewers,us/fl/dunedin/920hillwooddr/381797484,,
7 Hermits Brewing Company,717 Sylvan Lake rd Unit B-1,Eagle,CO,US,81631,39.65,-106.82,Brewery,us/co/eagle/717sylvanlakerdunitb1/829904566,,
7 Hills Brewing Co,115 S 15th St,Richmond,VA,US,23219,37.5332,-77.4317,Brewers,us/va/richmond/115s15thst/-1097681211,,
7 Locks Brewing,12227 Wilkins Ave,Rockville,MD,US,20852,39.055813,-77.11018,Brewery,us/nobethesda/rockville/12227wilkinsave/802952111,,
7 Mile Brewery,3156 Route 9 Soute,Rio Grande,NJ,US,8242,39.02,-74.87,Brewery,us/nj/riogrande/3156route9soute/-808345890,,
7 Seas Brewery and Taproom,2101 Jefferson Ave,Tacoma,WA,US,98402,47.24176,-122.43886,"Brewery,Restaurant",us/wa/tacoma/2101jeffersonave/935157263,,
7 Seas Brewing & Taproom,3006 Judson St,Gig Harbor,WA,US,98335,47.37,-122.71,Brewery,us/artondale/gigharbor/3006judsonst/1778138841,,
7 Sisters Brewing Co LLC,744 Ridge Rd,Nipomo,CA,US,93444,35.05,-120.48,Brewers,us/ca/nipomo/744ridgerd/-1627542040,,
7 Up Bottling Co,2670 Land Ave,Sacramento,CA,US,95815,38.6159,-121.4334,"Bottlers,Beverage Manufacturers,Breweries",us/ca/sacramento/2670landave/20056085,,
7 Up Bottling Co of Mankato,1400 Lake St,Mankato,MN,US,56003,44.188596,-94.020494,"Bottlers,Beverage Manufacturers,Breweries",us/nomankato/mankato/1400lakest/1808713855,,
7 Up Rc Bottling Co,2012 S Pearl St,Fresno,CA,US,93721,36.722348,-119.775127,"Beverage Manufacturers,Bottlers,Breweries",us/ca/fresno/2012spearlst/-2044798778,,
7 Up Rc Bottling Co,12201 Beech Daly Rd,Redford,MI,US,48239,42.3775,-83.2975,"Beverage Manufacturers,Bottlers,Breweries",us/mi/redford/12201beechdalyrd/-2044798778,,
716 Fire & Brew LLC,1911 Webb Rd,Grand Island,NY,US,14072,43.0147,-78.9622,Brewers,us/ny/grandisland/1911webbrd/-468932396,,
7th Settlement,47 Washington St,Dover,NH,US,3820,43.19535958,-70.87258212,Brewery,us/nh/dover/47washingtonst/1005878356,,
7venth Sun Brewery,1012 Broadway,Dunedin,FL,US,34698,28.0162143,-82.78990022,"Brewery,Bar",us/fl/dunedin/1012broadway/-1624872230,,
7venth Sun Brewery Tampa LLC,6809 N Nebraska Ave,Tampa,FL,US,33604,27.95,-82.48,Brewers,us/fl/tampa/6809nnebraskaave/1155314423,,
81 Bay Brewing Co,4465 W Gandy Blvd 600,Tampa,FL,US,33611,27.95,-82.48,Brewers,us/fl/tampa/4465wgandyblvd600/42865151,,
856 Brewing Co,50 SW Division St,Bend,OR,US,97702,43.98,-121.27,Brewers,us/or/bend/50swdivisionst/338513063,,
8-bit Aleworks,1050 Fairway Doctor F,Avondale,AZ,US,85323,33.45441,-112.32644,"Breweries,Food & Drink",us/az/avondale/1050fairwaydoctorf/1880612605,,
8one8 Brewing LLC,8951 De Soto Ave,Canoga Park,CA,US,91304,34.19,-118.6,"Brewers,Brewery",us/ca/canogapark/8951desotoave/1984430486,,
9 Yards Brewery,7324 N E 175th St,Kenmore,WA,US,98028,47.7565644,-122.2424266,Brewery,us/wa/kenmore/7324ne175thst/-1898690230,,
903 Brewers,1718 S Elm St,Sherman,TX,US,75090,33.617188,-96.60703,"Food & Drink,Breweries",us/tx/sherman/1718selmst/-344130136,,
A & B Beverage,193 US-2,Grand Isle,VT,US,5458,44.7192,-73.295,"Beverage Manufacturers,Breweries",us/vt/grandisle/193us2/878409441,,
A & B Beverage,1961 S Broadway St,Wichita,KS,US,67211,37.6572,-97.3357,"Beverage Manufacturers,Breweries",us/ks/wichita/1961sbroadwayst/878409441,,
A & G Intl INC,1235 Flynn Rd,Camarillo,CA,US,93012,34.2297,-119.0196,Brewers,us/ca/camarillo/1235flynnrd/98360132,,
A & S Brewing Collaborative,1904 Surf Ave,Brooklyn,NY,US,11224,40.575,-73.9857,Brewers,us/ny/brooklyn/1904surfave/345640040,,
A B W Brew LLC,801 S Riverside Harbor Dr,Post Falls,ID,US,83854,47.78,-117.02,Brewers,us/id/postfalls/801sriversideharbordr/-1376379177,,
A Cervexa,Av. General Sanjurjo,Bairdford,PA,US,15006,43.3558223,-8.402829204,Brewery,us/pa/bairdford/avgeneralsanjurjo/668993064,,
A Cova Celtica,Rua Orzan 82,Ambridge,PA,US,15003,43.37105,-8.40252,"Breweries,Food & Drink",us/pa/ambridge/ruaorzan82/1538323686,,
A Haven Brand-Natural Brew,25190 Washington Ave,Murrieta,CA,US,92562,33.5502,-117.2074,Brewers,us/ca/murrieta/25190washingtonave/-1023227190,,
A J S Lounge A,1028 Walden Ave,Buffalo,NY,US,BuffaloNY,42.88,-78.85,breweries & brew pubs,us/ny/buffalo/1028waldenave/598497534,,
A J's Drive Thru,417 Russell Ave,Akron,OH,US,44307,41.08,-81.52,"Breweries,Wholesale Foods",us/oh/akron/417russellave/306243864,,
A J's Pub,125 N Main St,Oconomowoc,WI,US,53066,43.1,-88.49,Brewers,us/wi/oconomowoc/125nmainst/101430548,,
A Mother's Brew,3300 Oak Dr,Violet,LA,US,70092,29.914,-89.8897,Brewers,us/la/violet/3300oakdr/1536514834,,
A VBeure,Calle Figuerola nº 39,Camp Hill,PA,US,17001,40.24,-76.92,Brewery,us/pa/camphill/callefiguerolan39/-823097457,,
A&S Brewing Collaborative LLC,209 Battery St 100,Burlington,VT,US,5401,44.4735,-73.2189,Brewers,us/vt/burlington/209batteryst100/345640040,,
Ô Zen,Rue Carnot,Eldorado,IL,US,62930,37.81,-88.44,Brewery,us/il/eldorado/ruecarnot/120483,,
A1 Discount Beverage,13508 Hicks Rd,Hudson,FL,US,34669,28.35,-82.69,"Breweries,Wholesale Foods",us/fl/hudson/13508hicksrd/-1839806288,,
A1A Ale Works,1 King St 101,Saint Augustine,FL,US,32084,29.892,-81.3111,Brewers,us/fl/saintaugustine/1kingst101/-1154350183,,
Aardwolf Brewing Co LLC,1461 Hendricks Ave,Jacksonville,FL,US,32207,30.3107,-81.6543,Brewers,us/fl/jacksonville/1461hendricksave/-199615620,,
Abandon Brewing Company,2994 Merritt Hill Rd,Penn Yan,NY,US,14527,42.66,-77.05,Brewery,us/ny/pennyan/2994merritthillrd/-1686787438,,
Abandoned Building Brewery,142 Pleasant St 103A,Easthampton,MA,US,1027,42.2733,-72.6634,Brewers,us/ma/easthampton/142pleasantst103a/-323824734,,
Abbey Gail's Pub,729 Oak St,Scranton,PA,US,18508,41.444344,-75.66484,"Brewers,Restaurant",us/pa/scranton/729oakst/1454344828,,
Abiff's Pub,3299 Hwy 46 S,Dickson,TN,US,37055,35.976844,-87.315152,Brewers,us/tn/dickson/3299hwy46s/1483813074,,
Abirradero,"C. Vila i Vilà, 77",Atco,NJ,US,8004,39.76,-74.85,Brewery,us/nj/atco/cvilaivil77/1140228791,,
Abita Brewing Co,166 Barbee Rd,Covington,LA,US,70433,30.4804,-90.0558,Brewers,us/la/covington/166barbeerd/-1346247381,,
Abita Brewing Co,1806 W Watrous Ave,Tampa,FL,US,33606,27.9319,-82.4796,Brewers,us/fl/tampa/1806wwatrousave/-1346247381,,
Abita Brewing Company,166 Barbee Rd,Covington,LA,US,70433,30.47,-90.11,Brewery,us/riverwood/covington/166barbeerd/1572618482,,
Able Ebenezer Brewing Co LLC,31 Columbia Cir,Merrimack,NH,US,3054,42.8526,-71.4933,Brewers,us/nh/merrimack/31columbiacir/2031015646,,
Ablestar Brewing Co LLC,3130 Maplewood Dr,Bettendorf,IA,US,52722,41.56,-90.47,Brewers,us/ia/bettendorf/3130maplewooddr/940647284,,
Abnormal Beer Co,16990 Via Tazon,San Diego,CA,US,92127,33.023852,-117.085759,Brewery,us/ca/sandiego/16990viatazon/-1626727304,,
Abreu Coffee Brew Inc,45 W 45th St 1102,New York,NY,US,10036,40.7561,-73.9809,Brewers,us/ny/newyork/45w45thst1102/-1164138897,,
Absolution Brewing Company,2878 Columbia St,Torrance,CA,US,90503,33.84315,-118.3379,"Brewery,Restaurant",us/ca/torrance/2878columbiast/-371695625,,
Accomplice Brewery LLC,1023 N Florida Mango Rd 906,West Palm Beach,FL,US,33409,26.6913,-80.079,Brewers,us/fl/westpalmbeach/1023nfloridamangord906/-1012462886,,
Ace Spades,2511 Romig Rd,Akron,OH,US,AkronOH,41.08,-81.52,breweries & brew pubs,us/oh/akron/2511romigrd/57474609,,
Ace Wine & Spirts,2315 30th St,Boulder,CO,US,80301,40.0242,-105.2537,"Breweries,Wholesale Foods",us/co/boulder/231530thst/-1040727215,,
Ace's & Deuces Tavern,1400 5th Ave,Pittsburgh,PA,US,15219-6216,40.438542,-79.985057,breweries & brew pubs,us/pa/pittsburgh/14005thave/-1075450011,,
Acoustic Ales,1795 Hancock St,San Diego,CA,US,,32.741817,-117.183655,"Restaurant,Brewery",us/california/sandiego/1795hancockst/-1993917092,,
Acton Liquors,100 Powdermill Rd,Acton,MA,US,#REF!,42.48,-71.46,Brewery,us/westacton/acton/100powdermillrd/657624030,,
Adam Puchta Winery,1947 Frene Creek Rd,Hermann,MO,US,65041,38.6636,-91.4662,"Wineries,Vineyards,Brewers",us/mo/hermann/1947frenecreekrd/-1047508746,,
Adamstown Beverage Inc,2994 N Reading Rd,Adamstown,PA,US,19501,40.24,-76.06,"Wholesale Foods,Breweries",us/pa/adamstown/2994nreadingrd/-886930987,,
Addison's Homebrewing,1328 E Orangethorpe Ave,Fullerton,CA,US,92831,33.85919198,-117.9043883,Brewery,us/ca/fullerton/1328eorangethorpeave/-1984163528,,
Adega Wine Cellars & Cafe,8519 Fenton Street,Silver Spring,MD,US,20910,39.01,-77.02,"Brewers,Wineries",us/md/silverspring/8519fentonstreet/-1393190088,,
Adela's Place,4442 W Fort St,Detroit,MI,US,48209-3226,42.312025,-83.090841,breweries & brew pubs,us/mi/detroit/4442wfortst/-13811509,,
Adelbert's Brewery,2314 Rutland Drive #100,Austin,TX,US,78758,30.382619,-97.720067,"Attraction,Bars,Clubs and Nightlife,Brewery",us/tx/austin/2314rutlanddrive100/-1471311066,,
Adirondack Beverages Inc,701 Corporation Park,Schenectady,NY,US,12302,42.8,-73.92,"Beverage Manufacturers,Breweries",us/ny/schenectady/701corporationpark/-634150332,,
Adirondack Pub,Syr Airport,Syracuse,NY,US,,43.04,-76.14,Brewery,us/ny/syracuse/syrairport/2098450797,,
Admiral Beverage Aviation,1468 Airport Rd,Worland,WY,US,82401,43.9711,-107.9503,"Wholesale Foods,Breweries",us/wy/worland/1468airportrd/992524510,,
Adroit Theroy Brewing,404 Browning CT,Purcellville,VA,US,20132,39.1439,-77.7202,Brewers,us/va/purcellville/404browningct/-906831734,,
Adventure Brewing Co,33 Perchwood Dr,Fredericksburg,VA,US,22405,38.384518,-77.44055,Breweries,us/fred/fredericksburg/33perchwooddr/1043337872,,
Adventures In Home Brewing,6071 Jackson Rd,Ann Arbor,MI,US,48103,42.289868,-83.850184,Brewer Equipment Supplies & Services,us/lochalpine/annarbor/6071jacksonrd/918316313,,
Adventurous Brewing LLC,2338 Oak St,Bettendorf,IA,US,52722,41.56,-90.47,Brewers,us/ia/bettendorf/2338oakst/-1092983448,,
